IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
C127	C127	0.0308582	-0.0191803	-0.00375859	-0.0561793	0.00491291	0.0292849	-0.024057	-0.0349506
C128	C128	0.0334664	-0.0185712	-0.00477979	-0.0703178	0.00306833	0.0589382	-0.0126524	-0.0459644
C129	C129	0.0280249	-0.0121067	0.00120938	-0.00706643	0.0161922	0.0162688	0.121237	0.123595
C130	C130	-0.0668207	-0.0112053	-0.0508513	0.000109618	-0.00702934	0.00248907	0.00343477	-0.00614164
C131	C131	0.0319957	-0.0171526	-0.00257572	-0.0559186	0.0055993	0.0508542	0.0134546	-0.0438357
C132	C132	0.0309535	-0.0150052	0.00251185	-0.017506	-0.00552071	0.0297337	0.0478927	-0.0189685
C133	C133	-0.0657825	-0.0110812	-0.0466112	0.000325959	-0.00400177	0.00450337	0.000657505	-0.00703153
C134	C134	-0.0673671	-0.0120496	-0.0596596	0.00024288	-0.0119751	0.00153021	0.000922706	-0.00511838
C135	C135	0.0145364	-0.011896	-0.00592699	-0.0551583	0.0196932	0.0338298	-0.0154201	-0.0255278
C136	C136	0.0320867	-0.0145307	-0.00398858	-0.0502476	-0.00294516	0.0489489	0.00809299	-0.00925835
C137	C137	-0.0655107	-0.0102089	-0.0352446	-0.000703109	-0.00542313	0.00401994	0.00252514	-0.00384635
C138	C138	-0.0573784	-0.00805918	-0.0253379	-0.000206937	-0.00982889	0.00192891	0.00892908	-0.0106965
C139	C139	0.0141875	-0.0147615	-0.00523521	-0.0383155	0.0118404	0.0357046	-0.0157028	-0.0281677
C140	C140	0.0310837	-0.00793837	-0.00255753	-0.0411732	0.000289364	0.0488109	0.0344514	-0.0812439
C141	C141	0.0309064	-0.00764844	-0.00169315	-0.0458776	0.00091045	0.0621463	0.0418233	-0.0683456
C142	C142	0.0316172	-0.013168	0.0018436	0.00668585	-0.00472143	0.0173345	0.1107	0.0569402
C143	C143	0.0283478	-0.0123584	0.000994626	-0.0439611	-0.00270152	0.049073	0.032246	-0.066069
C144	C144	-0.0660086	-0.0116515	-0.0454448	0.000373287	-0.00834787	0.00455843	0.000789915	-0.00771341
C145	C145	0.0289378	-0.0224162	-0.00339305	-0.0635075	0.0039058	0.0427224	-0.0656125	-0.00717562
C146	C146	-0.0692444	-0.0131443	-0.0746218	0.00171081	-0.0201088	0.000157782	-0.00127617	-0.00616626
C147	C147	0.0282455	-0.0133577	0.00367391	0.0676791	-0.0136679	-0.0158342	0.0191909	0.0614371
C148	C148	0.0319462	-0.014768	0.000442772	0.0579033	-0.00847229	-0.00473779	-0.0426418	0.0190285
C149	C149	-0.0652758	-0.0131545	-0.0737074	0.00322542	-0.0109976	0.00207767	-0.00120551	-0.0067876
C150	C150	-0.0692972	-0.0132603	-0.0719645	0.00177087	-0.0214036	0.00136175	-0.0024233	-0.0054453
C151	C151	0.0336219	-0.0176946	-0.00816247	-0.0501198	-0.0033706	0.027846	-0.0914486	0.000893555
C152	C152	-0.0533369	-0.0119004	-0.0369493	0.00319508	-0.0139112	-0.000219122	-0.00692401	0.00233367
C153	C153	-0.0571415	-0.00349959	0.106705	-0.00598869	-0.0368214	-0.00203134	-0.0067194	-0.00335135
C154	C154	-0.0688899	-0.0123822	-0.0702561	0.000603308	-0.0130679	0.00335356	-6.79078e-05	-0.00655545
C155	C155	0.0324206	-0.0231199	-0.00620195	-0.0633456	0.00115568	0.0490029	-0.0678052	-0.0343015
C156	C156	0.0340179	-0.0209811	-0.00268287	-0.0672215	0.00113928	0.0532694	-0.049131	-0.0487647
C157	C157	0.0271751	-0.0209432	-0.00449285	-0.0325076	0.00372183	0.033579	-0.0353365	-0.0176025
C158	C158	0.0337153	-0.0228027	-0.00431183	-0.0730575	8.74178e-05	0.0458681	-0.0758647	-0.0127071
C159	C159	0.0333863	-0.019657	-0.00393325	-0.0651266	0.00252884	0.0518102	-0.056091	-0.0142729
C160	C160	0.0222955	-0.0144003	0.0104372	0.00408959	0.000121776	0.0143008	-0.0284284	-0.0133363
C161	C161	0.0333958	-0.0196654	-0.00392777	-0.0651206	0.00256134	0.0518611	-0.0560523	-0.0142884
C162	C162	0.0293624	-0.0103442	-0.000120738	0.00790894	-0.00305329	0.02053	-0.000942096	0.0379892
C163	C163	0.0233629	-0.0181614	-0.00373536	0.0380952	0.00892239	-0.0180782	-0.0442259	0.00608015
C164	C164	0.0160397	-0.0171032	-0.00417818	0.0651364	0.0139595	-0.0204208	-0.093319	0.0390447
C165	C165	0.0331632	-0.0193542	-0.00712802	-0.0686135	0.00309278	0.0399546	-0.0660123	-0.0325692
C166	C166	0.0277944	-0.0197125	0.00326414	0.011205	-0.00471297	0.00968493	-0.0612242	0.0581093
C167	C167	0.0323444	-0.020869	-0.00374196	-0.00144835	0.00315889	-0.010445	-0.109387	0.112941
C168	C168	0.0322803	-0.0208698	-0.00377294	-0.00147858	0.00313395	-0.0104563	-0.109312	0.112892
C169	C169	0.0328834	-0.0128251	-0.00363387	0.027256	-0.00261582	0.0184415	-0.0412437	-0.000462128
C170	C170	0.0317667	-0.0205205	-0.000142886	-0.0236194	0.00359893	0.0213544	-0.0527811	0.014586
C171	C171	-0.0668831	-0.00979936	-0.0529189	-0.000877495	0.0159676	0.00556346	0.00687041	0.0077462
C172	C172	-0.0652776	-0.0131564	-0.0737062	0.00321771	-0.0110029	0.00207662	-0.00120815	-0.0067964
C173	C173	0.0335685	-0.021939	-0.00328441	-0.0438262	0.00213824	0.0284055	-0.0357245	0.00252716
C174	C174	0.0319249	-0.0147673	0.000481603	0.05782	-0.00848653	-0.00479565	-0.0426015	0.0190393
C175	C175	0.0322802	-0.0132741	-0.00211536	-0.0102707	0.000330234	0.0314241	-0.018236	-0.0248313
C176	C176	0.031604	-0.0178361	-0.00436731	-0.0126813	0.00107815	0.0216445	0.0442706	0.0812744
C177	C177	-0.0662233	-0.00932197	-0.0415252	-0.00141428	0.0105358	0.00544271	0.00548034	0.00881184
C178	C178	0.0297912	-0.019813	-0.00446991	-0.052356	-0.00110139	0.02307	-0.0365454	0.0424819
C179	C179	-0.0633408	-0.00758623	-0.016719	0.000488278	-0.0127257	0.00399843	0.00252582	0.000764807
C180	C180	0.0334166	-0.0183749	-0.00392123	-0.074774	0.00363228	0.0643442	-0.0269292	-0.0561751
C181	C181	-0.0673406	-0.0105238	-0.047006	-0.000798508	0.00975736	0.00177354	0.00370399	0.00326938
C182	C182	0.0325308	-0.0176346	-0.00474321	-0.0601625	0.00149061	0.0485476	-0.00339057	-0.0302142
