IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
W247	W247	0.033384	-0.0183877	-0.00285105	-0.0652647	0.00235907	0.0666251	-0.00464528	-0.0634265
W248	W248	0.0309446	-0.0184172	-0.00229581	-0.066527	0.0076582	0.0438224	-0.0117213	-0.0524653
W249	W249	-0.0662514	-0.0114619	-0.0326844	0.00103191	-0.0245679	0.00260472	0.00183244	-1.24765e-06
W250	W250	-0.0662505	-0.0115109	-0.0336764	0.00113212	-0.0247729	0.0026361	0.00187458	0.000145309
W251	W251	-0.0568079	-0.00521704	0.11683	-0.0104487	-0.0355606	0.00468705	-0.00207208	-0.00988663
W252	W252	-0.0387813	0.0234523	0.0444958	0.0008921	0.263075	-0.0115059	-0.004177	0.00528223
W253	W253	-0.0566251	-0.00452775	0.13411	-0.0121867	-0.0448814	-0.001739	-0.00503543	-0.00844286
W254	W254	-0.0567092	-0.00456218	0.133073	-0.0121649	-0.0446704	-0.0018739	-0.00511404	-0.00851896
W255	W255	-0.0391601	0.0230923	0.0432782	0.000806367	0.260608	-0.0116102	-0.00419211	0.00510228
W256	W256	-0.0353845	0.0288305	0.0378862	0.000859541	0.254957	-0.0116745	-0.00351668	0.0105279
W257	W257	-0.0490651	0.00989835	0.117346	-0.016287	-0.0477592	0.00482835	0.0100453	-0.0139698
W258	W258	-0.0354441	0.0286947	0.0381627	0.000937986	0.256207	-0.0115362	-0.00311554	0.0108458
W259	W259	0.0154869	-0.011704	0.019784	0.0774716	-0.0172637	-0.0220946	-0.0123272	0.0871969
W260	W260	-0.0575896	-0.00479394	0.126549	-0.00874046	-0.0464673	-0.00030729	-0.00913291	-0.00431771
W261	W261	-0.0297424	0.0403563	0.0585886	0.000694343	0.0998837	-0.00864226	-0.0119625	-0.0101735
W262	W262	0.0329721	-0.020951	-0.00438031	-0.0671034	0.00442418	0.0559027	-0.0852578	-0.00811053
W263	W263	0.0315367	-0.014965	0.00408506	0.0854305	0.0023164	0.00163198	0.0255316	0.00456467
W264	W264	0.0310308	-0.0140141	0.000968923	0.000176305	0.000984185	0.0103112	-0.00903492	-0.00118618
W265	W265	0.0314417	-0.0149551	0.00403985	0.0851472	0.00220393	0.00153845	0.0253773	0.00446087
W266	W266	0.0292988	-0.0138315	-0.000962191	0.0368716	0.00796641	0.017043	0.0802306	0.0564576
W267	W267	0.0313048	-0.0163423	-0.000884748	0.01485	0.000784553	0.00762195	-0.0450394	0.0178927
W268	W268	0.030578	-0.0190491	-0.00290939	-0.00346483	0.00166522	0.00685551	-0.0745655	0.0829408
W269	W269	0.0310925	-0.0113305	0.000766102	0.0245124	1.69088e-06	0.0223774	0.0033889	-0.0564234
W270	W270	0.0325824	-0.0182651	-0.00166622	0.00873871	-0.00354168	0.0106426	-0.045326	0.0500265
W271	W271	0.032308	-0.0166528	-0.00307843	0.00758096	-0.00103737	0.0284101	-0.0468775	-0.0171268
W272	W272	0.0280245	-0.0119981	0.00134254	-0.00712749	0.0161	0.0160837	0.120667	0.123203
W273	W273	-0.0554096	-0.00277417	0.0984325	-0.00683117	-0.0421503	0.00499173	0.00247292	-0.000948972
W274	W274	0.0331953	-0.0213761	-0.0030728	-0.060027	-0.0033305	0.0386326	-0.0583638	-0.00042488
W275	W275	-0.0534235	-0.00138687	0.114089	-0.00686512	-0.0258894	0.00351703	-0.00839147	-0.000896742
W276	W276	0.0305367	0.0130372	-0.00352253	0.0192436	-0.00699194	0.0275034	0.0788968	-0.0436936
W277	W277	0.0161686	0.153776	-0.0152877	-0.00834327	-0.0283572	-0.00331376	-0.0110197	0.0224549
W278	W278	0.0167969	0.15	-0.0136981	-0.00990081	-0.0320641	-0.00390522	-0.00886544	0.0231909
W279	W279	0.0156245	0.144877	-0.0106483	-0.0042625	-0.0354448	0.00139908	-0.000497442	0.0235463
W280	W280	0.012552	0.146871	-0.0147523	0.00221033	-0.0122736	-0.00797554	-0.0028664	-0.0291645
W281	W281	-0.0621484	-0.00423418	-0.0415242	-0.00203481	0.0247931	0.00618372	0.00955848	0.00345524
W282	W282	0.0285674	-0.013152	-0.00813391	-0.00529371	0.0101892	0.0141445	0.101203	0.103236
W283	W283	-0.0686228	-0.0121858	-0.0721255	0.000930171	-0.000928961	0.0015651	0.0063751	0.00575852
W284	W284	-0.0528212	-0.00225908	0.10171	-0.00469236	-0.0432364	0.00430129	0.00142725	0.00977719
W285	W285	-0.0542132	-0.00317998	0.102157	-0.00735564	-0.0458275	0.00231924	-0.000449412	-0.00272767
W286	W286	0.0173844	0.138256	-0.0123363	0.000170502	-0.0250917	0.00516818	-0.00557793	-5.68005e-05
W287	W287	0.0143585	0.143194	-0.0151468	-0.0105936	-0.0379318	0.00618084	-0.00591332	0.0125502
W288	W288	-0.0569434	-0.00380958	0.127429	-0.00849394	-0.0431776	0.000696942	-0.00762913	-0.00339649
W289	W289	0.0307595	-0.0187042	-0.000909737	0.106764	-0.00602126	-0.030915	-0.085101	0.0393083
W290	W290	-0.0692152	-0.0131638	-0.0742753	0.00148616	-0.0219211	-0.000692915	-0.000778821	-0.00621616
W291	W291	0.0297325	-0.0048287	-0.0021034	0.0802534	0.0027762	-0.0157486	0.00825302	-0.147883
W292	W292	0.0130269	0.14486	-0.0149872	-0.00145925	-0.00788126	-0.0119782	0.00172159	-0.0160658
W293	W293	0.033243	-0.021224	-0.00299649	0.0769945	-0.00301424	-0.024488	-0.0658327	0.000208671
W294	W294	-0.00805604	-0.0059199	0.0415729	0.0347512	-0.0259066	-0.0118352	0.00762015	-0.0520402
W295	W295	0.0316761	-0.0132092	-0.000905891	0.0818223	-0.00222864	-0.00221719	0.00339611	-0.140079
W296	W296	0.0160916	0.1208	-0.0100015	-0.0144345	-0.0271439	0.012191	-0.0085231	0.0357919
W297	W297	0.0163841	0.122503	-0.00867587	-0.0133262	-0.0239675	0.00718509	-0.013389	0.027199
W298	W298	0.0296977	-0.00518298	-0.0025213	0.0802626	0.00213608	-0.0167287	0.00583823	-0.142279
W299	W299	0.0297218	-0.0146883	0.000580568	0.00262488	0.00673213	0.00933316	-0.0133645	0.036831
W300	W300	-0.0539072	-0.00339021	0.101424	-0.00193722	-0.0438191	-0.00328748	-0.000509503	0.0016591
W301	W301	0.031883	-0.0141281	-0.00119187	0.0877276	-0.00297249	-0.00953473	-0.00764363	-0.134069
W302	W302	-0.0476382	-0.00400774	0.076941	-0.00894072	-0.0226861	0.00585617	0.002978	0.00649667
W303	W303	-0.05567	-0.00507458	0.133366	-0.0132577	-0.0457122	-0.00208978	-0.00177754	-0.0106979
W304	W304	-0.0213942	-0.00427165	0.0567433	0.0318052	-0.0301985	-0.00679187	0.00133548	-0.00276224
W305	W305	-0.0692422	-0.0132413	-0.0730345	0.0026086	-0.0205953	0.000657904	-0.00177111	-0.00531951
W306	W306	-0.0107136	0.031634	0.0326016	0.0153826	0.178768	-0.0194853	-0.00682177	0.00825588
W307	W307	0.0289512	-0.00936718	-0.00116068	0.0858576	-0.0109719	-0.0116789	-0.000651627	-0.131298
W308	W308	0.0304195	-0.0140436	0.000363719	0.0771654	-0.00591843	-0.00940359	0.0188964	-0.0848535
W309	W309	0.0307741	-0.0161251	0.0022108	0.0715895	-0.00209696	-0.00367815	0.0177443	-0.0371022
W310	W310	0.0319176	-0.0103096	-0.00171041	0.0878176	-0.00551282	-0.01009	0.0231079	-0.0403994
W311	W311	0.0326511	-0.0164565	-0.0013986	0.0672331	-2.62875e-06	-0.0134579	-0.0361471	0.0150574
W312	W312	0.0318878	-0.00977799	0.000584214	0.0855465	-0.00605633	0.00510248	0.019344	-0.0974515
W313	W313	0.0305905	-0.0124877	0.000271849	0.0759442	-0.0078773	-0.00708671	-0.0136072	-0.0856436
W314	W314	0.0315213	-0.0118218	0.000808196	0.0769868	-0.00296308	0.00638241	0.0257484	-0.0502984
W315	W315	0.0319947	-0.010186	0.000519385	0.0842467	-0.00436921	0.00621682	0.0212427	-0.0965752
W316	W316	0.025766	-0.00898959	0.00303609	0.0588947	3.20175e-05	0.0033206	-0.0273306	-0.0318953
W317	W317	0.0322804	-0.0098081	0.000991967	0.0830136	-0.00521913	0.00677471	0.0132485	-0.102631
W318	W318	0.0278142	-0.0170404	-0.0072514	-0.0506187	0.00149386	0.0480997	-0.0196358	-0.0218901
W319	W319	-0.0661393	-0.0112961	-0.0474489	0.000550279	-0.00459156	0.00416565	0.00139708	-0.00616209
W320	W320	0.0316058	-0.0130808	-0.000825659	-0.00805729	0.00201058	0.0336891	0.0589692	-0.0349754
W321	W321	0.0316905	-0.0135187	0.00248639	0.00682132	-0.00511544	0.018454	0.109719	0.0529139
W322	W322	0.0254431	-0.0210298	-0.00422068	-0.000712514	-0.00059858	-0.0057627	-0.0645429	0.0663764
W323	W323	-0.0605261	-0.00676684	0.0296116	-0.00119995	0.0022193	-0.000851298	0.00272699	-0.00050563
W324	W324	-0.0628349	-0.00848048	0.00327841	-0.00094549	0.00130267	0.00449977	0.000700898	-0.00369594
W325	W325	-0.0648879	-0.0115686	-0.045828	-0.000951167	-0.00844335	0.00443371	0.00263495	-0.0050075
W326	W326	-0.0628574	-0.00849768	0.00298017	-0.0010396	0.00110172	0.00426299	0.000751967	-0.00371612
W327	W327	-0.0684535	-0.012686	-0.0736762	0.00215118	-0.00338309	0.00211899	0.00496523	0.00191196
W328	W328	-0.0288349	-0.0149542	-0.0427691	-0.0183313	0.0137809	0.0121773	-0.0273097	0.0334682
W329	W329	-0.0454434	-0.00837862	0.0908288	-0.00762726	-0.0340316	0.00564173	-0.00123434	-0.00919951
W330	W330	0.0169403	0.139644	-0.0151414	-0.00446566	-0.0163327	-0.00316768	0.00508537	-0.0147879
B01	B01	0.0258891	-0.0186183	-0.0038473	-0.0284923	-0.000225211	-0.0460295	-0.00483561	-0.014283
B02	B02	-0.0498973	-0.0130231	-0.0468425	-0.00462682	-0.014126	-0.0181374	-0.00177345	-0.00457478
B03	B03	-0.0323571	-0.0139396	-0.0376634	-0.00945808	-0.00535938	-0.0358764	-0.00809089	-0.00664107
B04	B04	0.0293345	-0.0206422	-0.00555956	-0.0497425	-0.00148506	-0.0437646	0.00304607	-0.0352274
B05	B05	0.0303146	-0.0204929	-0.0045316	-0.0757227	-0.00594735	-0.179122	0.05199	-0.0379555
B06	B06	0.0289406	-0.019655	-0.00405385	-0.0382612	-0.00225854	-0.109729	-0.0053392	0.00291636
B07	B07	0.0301757	-0.021606	-0.00532052	-0.063806	-0.00591119	-0.152907	0.00121636	-0.0118092
B08	B08	0.0304966	-0.0203813	-0.00467463	-0.0784297	-0.00597252	-0.173831	0.0510319	-0.0388479
B09	B09	0.0303764	-0.0204342	-0.00451381	-0.0775509	-0.00610283	-0.176849	0.0508685	-0.0385761
B10	B10	0.0303924	-0.0203694	-0.00471692	-0.0765506	-0.00594598	-0.174339	0.0491073	-0.0366873
B11	B11	0.0302139	-0.0204629	-0.00463124	-0.0784202	-0.00616012	-0.178396	0.0492953	-0.0381896
B12	B12	0.0283322	-0.0198747	-0.00539385	-0.0532289	-0.00466736	-0.114707	-0.0072434	0.0167921
B13	B13	0.0303056	-0.0205807	-0.00462315	-0.0787346	-0.00618847	-0.17933	0.0526905	-0.0393556
B14	B14	0.0304615	-0.0204452	-0.00457932	-0.0769705	-0.00597968	-0.176152	0.0509166	-0.0367512
B15	B15	0.0302077	-0.0204019	-0.00430845	-0.0665363	-0.00482704	-0.162845	0.0219941	-0.0224496
B16	B16	0.0292568	-0.0189343	-0.00376353	-0.0507206	-0.00291959	-0.114306	0.0201521	-0.000749718
B17	B17	0.0305802	-0.021062	-0.00687306	-0.0586645	-0.00406512	-0.142975	-0.0124994	-0.00597188
B18	B18	0.0302009	-0.0210523	-0.00754653	-0.0563328	-0.00338228	-0.141241	-0.0174131	0.00123816
B19	B19	0.0300536	-0.0212621	-0.00709471	-0.0607901	-0.00559721	-0.171953	0.00922724	-0.0132754
B20	B20	0.0294767	-0.0209139	-0.00583735	-0.0685584	-0.00542089	-0.174723	0.0213664	-0.0206972
B21	B21	0.0299305	-0.0214584	-0.00649498	-0.0592304	-0.00449683	-0.137658	-0.0103208	0.0032265
B22	B22	0.0298851	-0.0210013	-0.00472829	-0.0704643	-0.00483718	-0.17251	0.0190318	-0.0137348
B23	B23	0.0304653	-0.0203752	-0.00419371	-0.0327193	-0.00210086	-0.0484202	-0.0249786	0.0272872
B24	B24	0.0300334	-0.0205619	-0.00534158	-0.0660296	-0.00391894	-0.110217	-0.00901451	-0.000377255
B25	B25	0.0298637	-0.0202314	-0.00432097	-0.0627728	-0.00597598	-0.139384	0.0348117	-0.0106443
B26	B26	0.0302937	-0.0204687	-0.00474411	-0.0793108	-0.00592065	-0.178821	0.0519496	-0.0400069
B27	B27	0.02942	-0.0204897	-0.00599751	-0.0595492	-0.00290226	-0.141086	-0.00298972	0.00414251
B28	B28	0.0257826	-0.019242	-0.00446308	-0.0157122	-0.00228393	-0.076655	-0.00883655	-0.00496787
B29	B29	0.028521	-0.0201314	-0.00580633	-0.0317737	-0.00362849	-0.0945387	-0.00811455	0.0169082
B30	B30	0.0303142	-0.02037	-0.00416477	-0.0612992	-0.00590446	-0.140932	0.0285565	-0.0138021
B31	B31	0.0281994	-0.0202067	-0.00611642	-0.0247458	-0.00576218	-0.104751	-0.0204167	0.0191526
B32	B32	0.0299375	-0.0204526	-0.00405846	-0.0414824	-0.0018817	-0.045381	-0.0309886	0.0206892
B33	B33	0.0294169	-0.0201435	-0.00461106	-0.0597619	-0.00327569	-0.107791	0.0032297	-0.00264467
B34	B34	0.0300341	-0.020916	-0.00604841	-0.0294553	-0.00163003	-0.0675247	-0.044272	0.0310386
B35	B35	0.0295908	-0.0205117	-0.00607263	-0.0600439	-0.00288856	-0.133464	-0.00818821	0.0097004
B36	B36	0.0299074	-0.020228	-0.00456742	-0.0557039	-0.00460911	-0.102269	-0.0116241	0.0094218
B37	B37	0.0305209	-0.021087	-0.00600805	-0.0614881	-0.00564196	-0.161945	-0.00137423	-0.0097153
B38	B38	0.0299904	-0.0205549	-0.00526467	-0.0667731	-0.00432087	-0.115566	-0.0104075	0.00543479
B39	B39	0.0308553	-0.0216005	-0.00515336	-0.0667981	-0.00469229	-0.0901754	-0.00654926	-0.013774
B40	B40	0.0291632	-0.0185828	-0.00391849	-0.0359398	-0.00163985	-0.0770434	-0.00341428	0.00319981
B41	B41	0.0274097	-0.019037	-0.00758248	-0.0664869	-0.000906095	-0.0775038	0.00695005	-0.0363296
B43	B43	-0.0424755	-0.0126978	-0.0324111	-0.00878798	-0.00544859	-0.0250298	-0.00346625	-0.00245267
B44	B44	0.0270507	-0.0202558	-0.00505913	-0.0214431	-0.00421745	-0.0700158	-0.00723853	0.0010022
B45	B45	0.023878	-0.0171792	-0.0023421	0.00693588	-0.00944892	-0.0554019	-0.055883	0.0497302
HS	HS	0.0279674	-0.0206192	-0.00730386	-0.0393054	-0.00305628	-0.0800171	-0.0104974	-0.0277997
